"订单编号","PID","交易时间","单项数量","单项金额","商品编号","商品名称","一级分类","二级分类","三级分类","门店名称","品牌"
2252649,"60bb2ee1-4409-11e8-afd5-0a58ac130519",2019-05-25 03:02:33,1,4.5,"13000208","康师傅酸辣牛肉桶面119g","方便速食","即食类主食","即食面类","C","康师傅"
2252649,"60bb2ee1-4409-11e8-afd5-0a58ac130519",2019-05-25 03:02:33,2,6,"13000268","双汇肉花肠90g","辅助佐餐","熟食肉制品","熟食肉制品","C","双汇"
2252660,"c9de8b5e-44b4-11e8-b025-0a58ac130519",2019-05-25 03:03:37,1,0.6,"12000271","上好佳鲜虾条7g","休闲零食","膨化食品","膨化食品","C","上好佳"
2252660,"c9de8b5e-44b4-11e8-b025-0a58ac130519",2019-05-25 03:03:37,1,4.5,"13000006","统一来一桶精炖排骨面105g","方便速食","即食类主食","即食面类","C","来一桶"
2252660,"c9de8b5e-44b4-11e8-b025-0a58ac130519",2019-05-25 03:03:37,1,3.5,"40603732","优思麦老婆饼60g","休闲零食","糕点","面包","C","优思麦"
2252679,"f3849297-7b62-4970-bc8e-711e737d573b",2019-05-25 03:04:54,1,3.5,"11000030","N可口可乐（塑料瓶）500ml","饮料","碳酸饮料","可乐类汽水","B","可口可乐"
2253730,"03bf72eb-4598-11e8-b090-0a58ac130519",2019-05-25 04:42:38,1,8.5,"10000008","N七匹狼（蓝)","烟类","香烟","硬盒香烟","B","七匹狼"
2254496,"88ec5fb7-dff3-48ef-aea8-1444d56dee18",2019-05-25 06:19:28,4,8,"11000133","怡宝纯净水555ml","饮料","包装水","包装水","C","怡宝"
2254496,"88ec5fb7-dff3-48ef-aea8-1444d56dee18",2019-05-25 06:19:28,1,0.2,"50000006","新购物袋fook(小)","购物袋","购物袋","购物袋","C","见福"
2254731,"12ae206a-695d-11e8-8d33-0a58ac1303bc",2019-05-25 06:39:18,1,3.5,"11000075","N可口可乐雪碧500ml","饮料","碳酸饮料","柠檬口味汽水","C","雪碧"
2255424,"8b0a917d-54ea-4e9f-934f-0cd474006c4f",2019-05-25 07:18:42,1,18,"10603579","N七匹狼（锋芒）","烟类","香烟","硬盒香烟","C","七匹狼"
2255673,"8c4c3d7a-4e54-11e8-836b-0a58ac130356",2019-05-25 07:29:12,1,14.5,"15000041","N海堤XT802铁观音125g","冲调类","茶叶","茶叶","B","海堤"
2255709,"09dcf658-0e32-11e8-a651-0a58ac13001a",2019-05-25 07:30:55,6,51,"10000008","N七匹狼（蓝)","烟类","香烟","硬盒香烟","B","七匹狼"
2255745,"72da0b9e-4631-4288-982c-f5e58fb7e146",2019-05-25 07:32:18,1,7.9,"13000114","味事达味极鲜特技酿造酱油380ml","食用调味品","调味品","酱油","B","味事达"
2255943,"c78206ff-c3d7-47d1-9cea-8f7c436259ca",2019-05-25 07:39:10,1,3,"11000212","统一冰糖雪梨饮料500g","饮料","果蔬汁","常温果汁","B","统一"
2256083,"a33914b5-3e52-11e8-b5e9-0a58ac130503",2019-05-25 07:43:55,1,3,"11000006","统一冰红茶(柠檬味)500ml","饮料","茶饮料","即饮红茶","B","统一冰红茶"
2256127,"11b44071-80a8-4527-b881-a1e5b29fcc69",2019-05-25 07:45:23,1,9.9,"99604020","浪莎LV1002超透明水晶短袜5双装(肉色)","家纺鞋服","衣物服装","袜子","A","浪莎"
2256160,"f87baf82-0188-403b-bc67-1850d9548055",2019-05-25 07:46:30,1,2.5,"18103004","口留香手撕肉干香辣味15g","休闲零食","肉食小食","肉食小食","B","口留香"
2256160,"f87baf82-0188-403b-bc67-1850d9548055",2019-05-25 07:46:30,1,1.5,"11000421","农夫山泉天然水380ml","饮料","包装水","包装水","B","农夫山泉"
2256566,"e73fb8a9-8264-11e8-aff3-0a58ac1303f0",2019-05-25 07:59:53,1,14,"10000029","N利群（新版）","烟类","香烟","硬盒香烟","C","利群"
2256591,"4b9fb1c3-5cdb-11e8-9092-0a58ac130393",2019-05-25 08:00:25,2,4,"99030101","蒙牛风味酸牛奶原味杯装100g","奶制品","酸奶/酸味奶","酸奶/酸味奶","A","蒙牛"
2256591,"4b9fb1c3-5cdb-11e8-9092-0a58ac130393",2019-05-25 08:00:25,1,3,"11000007","统一鲜橙多450ml","饮料","果蔬汁","常温果汁","A","鲜橙多"
2256655,"68240821-22a3-11e8-bcac-0a58ac130020",2019-05-25 08:02:12,1,8.5,"10000008","N七匹狼（蓝)","烟类","香烟","硬盒香烟","B","七匹狼"
2256691,"29f7e4b2-f850-4a29-bf08-aa0f2707fff5",2019-05-25 08:03:09,1,1,"10603552","顺成打火机","烟类","烟具","烟具","C","顺成"
2256752,"5bb2ef13-d48c-4618-acf0-fb0c6a9ae21e",2019-05-25 08:05:01,1,4.5,"11000280","麒麟午后原味奶茶饮料500ml","饮料","茶饮料","即饮奶茶","B","麒麟"
2256776,"d2e6f699-6466-11e8-868f-0a58ac1303b3",2019-05-25 08:05:39,1,9,"10000001","N红双喜（硬8mg）","烟类","香烟","硬盒香烟","A","双喜"
2256776,"d2e6f699-6466-11e8-868f-0a58ac1303b3",2019-05-25 08:05:39,1,1,"10603552","顺成打火机","烟类","烟具","烟具","A","顺成"
2256791,"2ad2a2f3-f2d2-4a64-9a7d-880c6d139a75",2019-05-25 08:06:01,1,16,"10000084","N七匹狼（纯翠）","烟类","香烟","硬盒香烟","B","七匹狼"
2256791,"2ad2a2f3-f2d2-4a64-9a7d-880c6d139a75",2019-05-25 08:06:01,1,4.5,"60603343","科迪透明浓缩暖酸奶180g","奶制品","酸奶/酸味奶","酸奶/酸味奶","B","科迪"
2256791,"2ad2a2f3-f2d2-4a64-9a7d-880c6d139a75",2019-05-25 08:06:01,1,4,"93895893","桃李红豆烧面包100g","休闲零食","糕点","面包","B","桃李"
2256794,"ebc0737a-946c-11e8-8473-0a58ac1305b1",2019-05-25 08:06:03,1,2,"11000108","惠尔康谷粒谷力燕麦味250ml","奶制品","含乳饮料","含乳饮料","A","惠尔康"
2256794,"ebc0737a-946c-11e8-8473-0a58ac1305b1",2019-05-25 08:06:03,1,1,"30000002","N心相印C1710三层手帕纸茶语","家用清洁","纸制品","手帕纸","A","心相印"
2256794,"ebc0737a-946c-11e8-8473-0a58ac1305b1",2019-05-25 08:06:03,1,2,"93895471","N带汁壳蛋茶香味","方便速食","鲜食","茶叶蛋","A","其他品牌"
2257079,"e25f052d-1e47-4b27-8296-ab4a90d8cefc",2019-05-25 08:13:30,1,6,"11000001","N红牛饮料250ml","饮料","功能性饮料","运动能量饮料","C","红牛"
2257079,"e25f052d-1e47-4b27-8296-ab4a90d8cefc",2019-05-25 08:13:30,1,3,"12000021","益达无糖口香糖(蓝莓)5片13.5g","休闲零食","糖果","口香糖","C","益达"
