"PID","性别","年龄","年代","距离上次光顾时间","上午活跃","午间活跃","下午活跃","夜间活跃","平均每单购买数量","偏好品类top1","访问门店数","进店次数","进店时间.一周","平均每单购买金额","偏好品类top2","偏好品类top3","偏好品牌top1","偏好品牌top2","偏好品牌top3"
"7b9b98ab-81a5-484b-8e9f-c4b499db6f2f","female",16,"00后",30.0484490740741,0,0,0,1,1,"冰淇淋",1,1,"工作日活跃",9,,,"梦龙",,
"917eb103-76f2-11e8-927d-0a58ac130661","male",29,"90后",6.15998842592593,0,0,0,1,2,"常温果汁",1,1,"双休日活跃",5,"其他居家用品",,"其他品牌","鲜橙多",
"c414b010-0004-4b51-9656-cdf244b3ec43","male",24,"90后",5.08322916666667,0,0,0,1,2,"即食面类",1,1,"双休日活跃",10.5,"健康保健饮料",,"康师傅","魔爪",
"aa249bf4-7420-4feb-bb4f-3259457a1ea5","female",40,"70后",2.24900462962963,0,0,0,1,4,"柠檬口味汽水",1,1,"工作日活跃",21,"其他汽水","硬盒香烟","雪碧","芬达","七匹狼"
"db71bd8e-41b8-4212-a23f-f947a99c737b","male",24,"90后",14.6337731481481,1,0,0,0,2,"酸奶/酸味奶",1,1,"工作日活跃",14,,,"每益添","优益C",
"bf91a3fa-9004-11e8-be66-0a58ac1305b1","male",37,"80后",9.15266203703704,0,0,0,1,1.25,"其他饮料",1,4,"工作日活跃",12.275,"硬盒香烟","运动能量饮料","泰山","尖叫","其他品牌"
"45169838-82cc-4f24-86ac-6003cbbb6efb","male",37,"80后",4.06952546296296,0,0,0,1,1,"计生用品",1,1,"工作日活跃",42,,,"杜蕾斯",,
"e67b35a7-109a-4b63-aef5-fc0e1aa698dc","male",51,"60后",2.22159722222222,0,0,0,1,2,"软盒香烟",1,2,"工作日活跃",21,"硬盒香烟",,"云烟",,
"a4bec4a1-54f4-4b7a-8d15-00045d6c3cb3","male",54,"60后",22.2692708333333,0,0,1,0,1,"冰淇淋",1,1,"工作日活跃",3.5,,,"雪糍",,
"423b7748-7ee0-4637-becc-d210e8374627","male",25,"90后",17.6029166666667,1,0,0,0,2,"茶叶蛋",1,4,"工作日活跃",4.125,"含乳饮料","包装水","惠尔康","见福","卡士达"
"6e0346c5-7170-4376-863d-b53094f34c00","male",27,"90后",26.0751157407407,0,0,0,1,1,"运动能量饮料",1,1,"双休日活跃",6,,,"红牛",,
"a3d4a0b7-4152-11e8-bd48-0a58ac130510","female",34,"80后",15.0536111111111,0,0,1,1,1.8,"硬盒香烟",1,5,"双休日活跃",54.78,"卫生巾","饼干","七匹狼","七度空间","丽芝士"
"c96ea0b9-4fa0-11e8-83a2-0a58ac130356","female",23,"90后",6.50400462962963,1,0,1,0,2,"冰淇淋",1,2,"双休日活跃",6.75,"即食面类","熟食肉制品","随变","康康","统一"
"541f4a32-813d-4031-873d-22fd50d76b8f","female",32,"80后",18.3792824074074,0,0,1,0,3,"含乳饮料",1,2,"工作日活跃",12.15,"即饮红茶","酸奶/酸味奶","惠尔康","康师傅","养乐多"
"2785f676-5040-4a5d-8a18-325d1fb9aa8e","female",25,"90后",18.9329398148148,0,0,0,1,3,"包装水",1,1,"工作日活跃",44.5,"即饮绿茶","软盒香烟","景田","利群","小茗同学"
"74facccd-cded-4f19-8a1f-9f81c4d4dc4a","male",42,"70后",5.49434027777778,0,1,0,1,1,"其他茶饮料",1,2,"双休日活跃",7.9,"自制面饭类",,"其他品牌","元气森林",
"d3e1a390-80e9-4b1d-803c-52422b3af981","male",30,"80后",7.46538194444444,0,1,0,1,2,"硬盒香烟",1,3,"双休日活跃",13.6666666666667,"包装水",,"七匹狼","景田",
"d71eacde-603c-11e8-aa3e-0a58ac13039c","male",41,"70后",4.18046296296296,0,0,0,1,1,"电池",1,1,"工作日活跃",14.8,,,"南孚",,
"dc52f314-2fd5-4cd0-bdd4-8c3e28b85eb3","female",21,"90后",13.5764814814815,1,0,0,0,1,"包装水",1,1,"双休日活跃",3,,,"景田",,
"dae4c88e-6bed-11e8-8e4c-0a58ac1303bc","male",30,"80后",9.10663194444444,0,0,0,1,2,"3C产品",1,1,"工作日活跃",40,"硬盒香烟",,"555","南孚",
"cdadbeaa-5276-11e8-ba26-0a58ac13035b","male",38,"80后",19.8168865740741,0,0,0,1,2,"啤酒",1,1,"双休日活跃",4,,,"雪津",,
"af8ac88f-8707-11e8-9369-0a58ac13066c","male",35,"80后",5.32885416666667,1,0,1,0,2.33333333333333,"即饮奶茶",1,9,"双休日活跃",7.66666666666667,"面包","熟食肉制品","优思麦","其他品牌","双汇"
"6b6a6f67-3fe2-4de7-9092-1181b4ab027d","female",28,"90后",24.1526736111111,0,0,0,1,2,"含乳饮料",1,1,"工作日活跃",3,"菊花饮料",,"惠尔康",,
"f2b2aed2-921d-11e8-80c3-0a58ac1305b1","male",30,"80后",20.2692939814815,0,0,1,0,1,"即饮咖啡",1,1,"双休日活跃",5.5,,,"雀巢咖啡",,
"fc8d8c77-a820-4c3a-8165-4e27541c8e3e","male",25,"90后",0.331678240740741,1,0,1,0,1.5,"硬盒香烟",1,8,"工作日活跃",20.75,"即饮红茶","凉果","维他","云烟","好味佳"
"6f215c50-10e0-462c-a585-e7db75157ac4","female",36,"80后",12.5607060185185,1,0,0,0,7,"即食面类",1,1,"双休日活跃",15.7,"购物袋","即饮红茶","其他品牌","东方树叶","家乐"
"86e69401-0fde-11e8-a675-0a58ac13001a","female",26,"90后",12.1724074074074,0,0,0,1,2,"电池",1,1,"双休日活跃",20,"软盒香烟",,"绿三圈","七匹狼",
"89ef5ddf-d04e-4994-922c-4810ab8e10a2","male",31,"80后",8.49997685185185,1,1,0,0,1,"硬盒香烟",1,2,"工作日活跃",20.5,,,"七匹狼","云烟",
"47a0a613-492f-11e8-b53b-0a58ac130522","male",28,"90后",21.0414236111111,0,0,0,1,1,"洗发用品",1,1,"工作日活跃",29,,,"其他品牌",,
